,Name,Country,Proven victims,Possible victims,Notes,Start year,End year,Nickname
574,Albert Schmidt,New,Unconfirmed,3+,"A German immigrant who murdered at least three travelling companions from 1888 to 1890 before execution in 1890. Also known as ""The Wagga Murderer.""",1888-1890,Unknown,The Wagga Murderer.
575,Jack the Ripper,United,Unconfirmed,11,Unidentified killer who stabbed at least five prostitutes and mutilated four in the Whitechapel and Spitalfields districts of London. Several suspects have been named over the years.,1888,1891?,
576,Johann Otto Hoch,United,Unconfirmed,50+,"German con man who married women under false identities, swindled and poisoned them with arsenic. Hanged in 1906 for one murder, but suspected to have committed between 15 and 55.",1888?,1905,
577,Minnie Dean,New,Unconfirmed,3+,Baby farmer hanged for the murder of three infants that were found buried in her property. Only woman executed in the History of New Zealand.,1889?,1895,
579,Marianna Skublińska,Russia,Unconfirmed,50-75,"A Russian baby farmer who was arrested after a fire at her nursery was extinguished, revealing the dead bodies of at least 50 babies concealed at various points around the house. Police suspected her of having disposed of up to 75 babies. She could not be convicted due to lack of evidence, but was sentenced to penal servitude for allegedly burning the house down for insurance.",1890 and earlier,Unknown,
580,H. H. Holmes,United,Unconfirmed,9,"Holmes was convicted and sentenced to death for the murder of his accomplice and business partner Benjamin Pitezel. It is believed he killed three of the Pitezel children, as well as 3 mistresses, the child of one of the said mistresses and the sister of another.",1891,1894,
581,Frederick Bailey Deeming,United,Unconfirmed,6,"Killed his wife and four children (cutting their throats, except one daughter that was strangled) and buried their bodies in concrete under a rented house in Rainhill, England. He then fled with his mistress to Windsor, Victoria, where he bludgeoned her and cut her throat, and also buried the body in concrete in another rented house. The discovery of the last body led to his arrest and the uncovering of the ones in Rainhill, attracting the attention of the international press, which considered him the possible identity of Jack the Ripper. Hanged in 1892.",1891,Unknown,
582,John and Sarah Makin,New,Unconfirmed,13,Baby farmers who murdered infants in their care. John was hanged in 1893 but Sarah's death sentence was commuted to life imprisonment and hard labor. She was paroled in 1911 and died seven years later of natural causes.,1892 and earlier,Unknown,
583,Lizzie Halliday,United,Unconfirmed,8,"""The Worst Woman on Earth"". Acquitted of killing her stepson by burning down their New York family home in 1893. After her husband disappeared the following year, a search of their farm found the bodies of two women in the hayloft who had been shot to death; the husband's mutilated body was found under the floorboards of the house a few days later. Halliday was convicted of the murders, becoming the first woman sentenced to die in the electric chair, but her sentence was later commuted to being interned in an asylum after she was found to be insane. In 1906, she killed an asylum's nurse with a pair of scissors. Another stepson claimed that Halliday had confided to him that she had murdered a previous husband in Belfast, but had concealed the crime successfully. Died in 1918.",1893?,1906,The Worst Woman on Earth
584,Louise Vermilya,United,Unconfirmed,9,"Believed to have poisoned seven relatives and two boarders with arsenic in Chicago for economic gain. May have attempted suicide with arsenic while in home arrest in 1911, if so she survived and saw all charges dismissed in 1915.",1893,1911,
585,Frances Knorr,Victoria,Unconfirmed,2,Baby farmer hanged for the murder of two babies that were found buried in her property.,c. 1894,Unknown,
586,Harry T. Hayward,United,Unconfirmed,4,"""The Minneapolis Svengali."" Gambler and serial arsonist who confessed to three other unreported murders after being found guilty of one. Hanged in 1895.",1894 and earlier,Unknown,The Minneapolis Svengali.
587,Diogo Figueira da Rocha,Empire,Unconfirmed,50+,"Brazilian career criminal and serial killer acting within São Paulo at the end of the 19th century. He is supposedly responsible for more than 50 murders between 1894 and 1897. Tucked away in the far west of the state, he was hunted down by government task forces and was pronounced dead in 1897 after a shootout with the authorities on the banks of the Mojiguaçu River. The corpse, however, has never been recovered.",1894,1897,
588,Joseph Vacher,France,Unconfirmed,27+,"Mentally ill vagrant known as ""The French Ripper"" and the ""Ripper of the South-East"", although he was also active in central and northern France. Raped, stabbed and disembowelled women, teenage boys and girls who worked alone in the countryside. Guillotined in 1898.",1894,1897,The French Ripper
589,Theodore Durrant,United,Unconfirmed,2,"""The Demon of the Belfry"". San Francisco sunday school teacher who raped and strangled two women who rebuffed his romantic advances, then abandoned their bodies in the church's library and bell chamber. Took part in the search for the first victim and suggested that she had been kidnapped and taken out of town. Hanged in 1898.",1895,Unknown,The Demon of the Belfry
590,Cayetano Domingo Grossi,Argentina,Unconfirmed,5,"The first known serial killer in Argentine history. Italian immigrant who murdered five of his own neonatal children, who had been born as the result of his rape of his two stepdaughters. Executed by firing squad in Buenos Aires, in 1900.",1896,1898,
592,George Chapman,United,Unconfirmed,3,Poisoned three of his mistresses with tartar emetic. Suspected at the time of his execution by hanging in 1903 to be the real identity of Jack the Ripper.,1897,1902,
593,Andrew Christie,Scotland,Unconfirmed,Unconfirmed,"Called ""Christie-Cleek"". Purported Perth butcher turned road bandit, murderer and cannibal during a severe famine.",1320,1339,Christie-Cleek
594,Christman Genipperteinga,Holy,Unconfirmed,Unconfirmed,"Claimed German bandit who was executed for 964 murders, according to a 1581 pamphlet. Possibly inspired by real bandit Peter Niers, who confessed under torture to 544 deaths and was executed in the same year, although similar characters appear in German fairy tales and folk songs from before that time.",1568,1581,
595,Sawney Bean's clan,Scotland,Unconfirmed,Unconfirmed,"Claimed cannibal family that robbed, killed and ate travellers in a cave of Bennane Head, until their manhunt and execution by James VI. Contemporary documents make no reference to the hundreds of disappearances and murders said to have been carried by Bean's clan, which was probably inspired by the earlier legend of Christie-Cleek.",1575,1600,
596,Don Vincente,Spain,Unconfirmed,Unconfirmed,"Bibliomaniac ex-monk and librarian said to have killed ten men in Barcelona in order to steal unique books and add them to his collection, sentenced for his crimes to die by garrote. The story, first published as an anonymous article in an 1836 Parisian newspaper, was reprinted as a true story in France for a century, while remaining largely unknown in Spain.",1834,1836,
597,"Agnus McVee, Jim McVee and Al Riley",Canada,Unconfirmed,Unconfirmed,"Family claimed to have owned a hotel and store on the Cariboo Road of British Columbia during the Cariboo Gold Rush, where they killed miners for their gold and kidnapped women and forced into sex trafficking against their will until their arrest and death in prison in New Westminster. The story comes from a single source and there are no records of disappearances in the area at the time of the murders nor existing death certificates of the supposed serial killers apprehended.",1875,1885,
598,"Ables, Tony",United,4,4+,"Murdered robbery victim in 1970, and at least three women until 1990 in St. Petersburg, Florida",1970,1990,
599,"Acevedo, Francisco",United,3,3,Strangled three prostitutes in New York between 1989 and 1996,1989,1996,
600,"Adams, Edward James",United,7,7,"Murdered seven people, including three policemen",1920,1921,
601,"Agrue, John",United,3,3+,"Killed his sister-in-law in Illinois; paroled and moved to Colorado, where he killed two more women",1966,1982,
602,"Albanese, Charles",United,3,3,"Poisoned family members with arsenic in Fox Lake, Illinois to receive their inheritance",1980,1981,
603,"Albright, Charles",United,1,3,"Texas man known as the ""Eyeball Killer"" because he removed the eyes of his victims after killing them",1990,1991,Eyeball Killer
604,"Alcala, Rodney",United,8,130+,"Sometimes called ""The Dating Game Killer"" because of his 1978 appearance on the television show The Dating Game in the midst of his murder spree",1971,1979,The Dating Game Killer
605,"Alix, Franklin DeWayne",United,3,4+,"Murdered people in Houston, Texas during robberies",1997,1998,
606,"Allen, Herman",United,4,4,"Shot a lodger in 1930; after his release, he killed three more people in a fit of jealousy",1930,1942,
607,"Allen, Howard",United,3,3,Preyed on the elderly in Indiana,1974,1987,
608,"Allen, Quincy",United,4,4,Murdered four people in North and South Carolina between July–August 2002,2002,Unknown,
609,"Allridge, James",United,3,3,"Murdered people in Forth Worth, Texas in robberies alongside his brother",1985,Unknown,
610,"Allridge, Ronald",United,4,4,"Murdered people in Fort Worth, Texas in robberies alongside his brother",1976,1985,
611,"Alston, Robert Sylvester",United,4,6,"Raped and strangled prostitutes and drug addicts around Greensboro, North Carolina, dismembering their bodies post-mortem",1991,1993,
612,"Amati, Tony Ray",United,3,3,"Murdered people in thrill-killings in Las Vegas, Nevada along with two other men; added to the FBI's ten most wanted list in 1998; Amati's two codefendants were never convicted of murder due to a lack of evidence",1996,Unknown,
613,"Anderson, Joshua",United,4,5,"Fatally shot at least four people in Tulsa, Oklahoma, cannibalizing one, in a series of robbery and revenge-related murders.",2006,2007,
614,"Anderson, Stephen Wayne",United,9,9+,"Murdered people in Utah, Nevada, and California",1973,1980,
615,"Angelo, Richard",United,4,10,Long Island nurse who poisoned patients in his care,1987,Unknown,
616,"Archerd, William Dale",United,3,6,First person convicted of using insulin as a murder weapon,1947,1966,
617,"Archer-Gilligan, Amy",United,10,50,"Poisoned a husband and residents of her nursing home in Windsor, Connecticut",1910,1917,
618,"Arguelles, Roberto",United,4,4+,"Known as ""The Salt Lake City Strangler""; violent sex offender who kidnapped and murdered women and girls",1992,Unknown,The Salt Lake City Strangler
619,"Armstrong, John Eric",United,5,18,Navy sailor convicted for murdering prostitutes in Michigan and Illinois; confessed to more murders around the world,1992,1999,
620,"Atkins, Benjamin",United,11,11,"Known as ""The Woodward Corridor Killer""; serial rapist who preyed on women in Highland Park and Detroit, Michigan",1991,1992,The Woodward Corridor Killer
621,"Atkins, Joseph",United,3,3,"Murdered his half-brother; paroled, and later murdered his adoptive father and a neighboring couple's daughter during a drunken shooting spree",1969,1985,
622,"Avalos, Johnny",United,5,5,"Raped and strangled women in San Antonio, Texas",2012,2015,
623,"Avila-Torrez, Jorge",United,3,3,Murdered two underage girls in 2005 in Illinois and a 20-year-old Navy Petty Officer in Virginia in 2009,2005,2009,
624,"Balaam, Anthony",United,4,4,"Known as ""The Trenton Strangler""; raped and murdered four women in Trenton, New Jersey",1994,1996,The Trenton Strangler
625,"Baldi, Joseph",United,4,4,"Known as ""The Queens Creeper""; mentally-ill burglar who stabbed women to death after breaking into their apartments",1970,1972,The Queens Creeper
626,"Ball, Joe",United,2,20,"Texas murderer of women known as ""The Alligator Man""",1936,1938,The Alligator Man
627,"Barber, Danny",United,4,4,"Murdered four people in Dallas County, Texas between 1977 and 1979, having sex with the corpses of two of his victims",1977,1979,
628,"Barfield, Velma",United,1,6,North Carolina woman who was the first woman in the United States to be executed after the 1976 resumption of capital punishment and the first since 1962. She was also the first woman to be executed by lethal injection.,1971,1978,
629,"Barnes, James Antonio",United,3,7,Mentally-ill factory worker who shot and killed prostitutes around Memphis,1988,Unknown,
630,"Barone, Cesar",United,4,4+,Killed four women around the Portland area,1991,1993,
631,"Barr, Charles",United,3,3,"Known as ""The Petting Party Bandit""; shot couples in lovers' lanes in Memphis during robberies",1923,Unknown,The Petting Party Bandit
632,"Barrett, Eugene",United,3,3,"Killed three women he was romantically involved with in Honolulu, Hawaii",1959,1995,
633,"Bartlett, Polly",United,22,22,"Wyoming's first serial killer before it was even a state. Innkeeper who poisoned her rich male patrons with arsenic to rob them with her father Jim. Was arrested by a would-be victim from a bounty on her head, then shot dead while in jail by an employee of her last victim's father.",1868,Unknown,
634,"Baughman, John",United,1,3,Convicted of murdering his second wife in Antigua and Barbuda. Also a suspect in the murders of his first wife and a friend in Chicago.,1970,1995,
635,"Baumeister, Herb",United,11,20,"Responsible for murdering at least 11 victims who were found buried on his property in Westfield, Indiana",1980,1996,
636,"Baxter, Patrick",United,3,3,"Raped and murdered one girl and two women in Westchester County, New York",1987,1990,
637,"Beamon, Rocky",United,3,3,"Robbed and murdered a woman in Florida, then murdered two sex offenders in prison",2005,2017,
638,"Beardslee, Donald",United,3,3,"Murdered a woman in Missouri; paroled, and later murdered two more women on separate occasions in California",1969,1981,
639,"Beck, Martha",United,3,20,"Along with accomplice Raymond Fernandez, became known as ""The Lonely Hearts Killers""",1947,1949,The Lonely Hearts Killers
640,"Bell, Cimarron",United,4,4,"Shot his girlfriend, and then a trio of men in financially-motivated schemes",2003,2004,
641,Bender Family,United,11,11+,"Family of serial killers who lived and operated in Labette County, Kansas",1869,1872,
642,"Berdella, Robert",United,6,6,"Known as ""The Kansas City Butcher"" and ""The Collector""; kidnapped, raped, tortured, and murdered young men in Missouri",1984,1987,The Kansas City Butcher
643,"Berkowitz, David",United,6,6,"Known as ""The Son of Sam"" and the "".44 Caliber Killer""; shot eight random strangers, killing six, in and around New York City",1976,1977,The Son of Sam
644,"Betterton, Monroe",United,3,3,Murdered his wives in Missouri and Oklahoma during violent arguments,1904,1919,
645,"Bianchi, Kenneth",United,12,12,"Along with accomplice Angelo Buono Jr., known as ""The Hillside Stranglers"". Murdered young women in Los Angeles and Washington",1977,1978,The Hillside Stranglers
646,"Biegenwald, Richard",United,6,11,"Active in New Jersey, suspected in at least two other murders",1958,1983,
647,"Biehler, Robert",United,4,4,Career criminal who shot four people in Los Angeles to cover up other crimes,1966,1973,
648,"Bird, Jake",United,2,46,Sentenced to death for the murders of two people; confessed to 44 other murders,1930,1947,
649,"Bishop, Arthur Gary",United,5,5,Preyed on young boys in Utah between 1979 and 1983,1979,1983,
650,"Bittaker, Lawrence",United,5,5,"With accomplice Roy Norris known as ""The Tool Box Killers""",1979,Unknown,The Tool Box Killers
651,"Bittrolff, John",United,2,4+,Suspect in Long Island serial killer case,1993,Unknown,
652,"Bixler, Rodney Troy",United,3,4,Strangled three women to death in Kentucky in 2000,2000,Unknown,
653,"Bladel, Rudy",United,3,7,"Known as ""The Railway Killer""; his case was part of Michigan v. Jackson, which was later overruled by the Supreme Court",1963,1978,The Railway Killer
654,"Blair, Terry",United,7,9,"Sentenced to 25 years in prison for one murder, released on parole after serving 21 years and committed additional murders upon release",1982,2004,
655,"Blinston, Ryan Scott",United,3,3,Murdered people he worked for as a tree trimmer,2020,Unknown,
656,"Bloomfield, Clifton",United,5,5,"Movie extra who murdered five people in Albuquerque, New Mexico",2005,2008,
657,"Bolin, Oscar Ray",United,4,4+,Murdered three women in Florida and a fourth woman in Texas,1986,1987,
658,"Bolsinger, John Charles",United,4,4,"Convicted of a manslaughter in Utah in 1980; posthumously linked to three rapes and murders in Eugene, Oregon",1980,1988,
659,"Bonin, William",United,21,36+,"Known as ""The Freeway Killer""; preyed on young men and boys in southern California with several accomplices",1979,1980,The Freeway Killer
660,"Bounds, Dallen",United,4,4+,Murdered acquaintances around South Carolina,1999,Unknown,
661,"Bowles, Gary Ray",United,6,6+,"Known as ""The I-95 Killer""; Targeted gay men in Florida, Georgia and Maryland",1994,Unknown,The I-95 Killer
662,"Boyd, Charles Anthony",United,3,3,"Known as ""The Bathroom Slayer""; preyed on women living in the same apartment building he was living in with his brother at the time",1986,1987,The Bathroom Slayer
663,"Bradford, William Richard",United,2,28+,Suspected of more murders due to his modus operandi of taking photographs of his victims,1984,Unknown,
664,"Bradley, James Opelton",United,3,3,"Murdered his stepdaughter; paroled, and later murdered two women",1988,2014,
665,"Brandt, Charlie",United,4,7+,"Shot his parents in 1971 when he was 13, killing his pregnant mother; stabbed his wife and niece to death in 2004",1971,2004,
666,"Brant, Joe",United,4,4+,Killed at least 4 women in the New Orleans area from 2007 to 2008,2007,2008,
667,"Brashers, Robert Eugene",United,3,3+,"Known as ""Mister Maroon""",1990,1998,Mister Maroon
668,"Breslin, Joseph",United,3,3,"Mental patient who killed a fellow patient in Pennsylvania; after release, killed a mother and daughter in his hometown in California",1968,1982,
669,"Bright, Larry",United,8,8+,"Known as ""The Bonecrusher""; strangled black prostitutes at his house in Peoria, burning some of them afterwards",2003,2004,The Bonecrusher
670,"Britt, Eugene",United,7,10,"Raped and murdered girls and women in Gary and Portage, Indiana",1995,Unknown,
671,Briley Brothers,United,12,21,Three brothers and an accomplice responsible for 11 murders,1979,Unknown,
672,"Broadnax, Donald",United,3,3,Shot his friend to death; later murdered his wife and her grandson while out on work release,1977,1996,
673,"Brooks, Shelly",United,7,20+,"Raped and murdered middle aged women around Detroit, Michigan",2001,2006,
674,"Brown, Curtis Don",United,3,18,"Murdered three women around Arlington and Fort Worth, Texas between 1985 and 1986; suspected of up to 18 murders.",1985,1986,
675,"Brown, Debra Denise",United,8,8,Accomplice of Alton Coleman,1984,Unknown,
676,"Brown, Kenyel",United,6,6,"Known as ""The Metro Detroit Serial Killer""",2019,2020,The Metro Detroit Serial Killer
677,"Brown, Raymond Eugene",United,5,5,"Killed three relatives as a teenager; paroled, and later killed and mutilated his girlfriend and her young daughter",1960,1987,
678,"Browne, Robert Charles",United,2,2+,Missionary convicted for two murders; confessed to murdering 49 women,1970,1995,
679,"Brudos, Jerry",United,4,4+,"Known as ""The Lust Killer"" and ""The Shoe Fetish Slayer""",1968,1969,The Lust Killer
680,"Brummett, Lyle",United,2,3,Raped and strangled three women in Texas with an accomplice,1975,1976,
681,"Buell, Robert Anthony",United,2,3+,Serial rapist who raped and strangled young girls in Ohio,1981,1983,
682,"Buenoano, Judy",United,3,3+,Caught in 1983 after poisoning and car bombing a fiancé,1971,1983,
683,"Bullock, David",United,6,6+,"Known as ""The .38 Caliber Killer""; shot people at random around New York City to ""amuse himself""",1981,1982,The .38 Caliber Killer
684,"Bunday, Thomas",United,5,6,"Never arrested, as he was released after interrogation on a technicality",1979,1981,
685,"Bundy, Carol M.",United,7,7,"With accomplice Doug Clark, known as ""The Sunset Strip Killers""; preyed on young women in West Hollywood and Los Angeles, California",1980,Unknown,The Sunset Strip Killers
686,"Bundy, Ted",United,28,30+,Preyed on young white women throughout the United States,1971,1978,
687,"Buono Jr., Angelo",United,9,10,"Along with accomplice Kenneth Bianchi, known as ""The Hillside Stranglers"". Murdered young women in Los Angeles",1977,1978,The Hillside Stranglers
688,"Burchart, Leslie",United,3,7+,Schizophrenic vagrant who killed fellow homeless men; prime suspect in the Golden Years Murders,1994,1996,
689,"Burkett, Nathaniel",United,5,5+,Murdered women in Mississippi and Nevada during a 24-year period,1978,2002,
690,"Burkhart, Timothy",United,4,4+,"Murdered young girls and women in Pierce County, Washington",1986,2001,
691,"Busch, Henry",United,3,3,"Strangled three women to death in California, saying that he felt an irresistible urge to death.",1960,Unknown,
692,"Butler, Eugene",United,6,6,"Mentally ill farmer in Niagara, North Dakota who killed six men and buried their bodies under his home; his crimes were discovered two years after his death during a home renovation",1900,1906,
693,"Cable, James Ray",United,4,6+,"Murdered an inmate while imprisoned for rape; released, then killed at least three women in Kentucky",1977,1989,
694,"Canaday, John Dwight",United,3,3,Considered Washington state's first known serial killer,1968,1969,
695,"Cannon, Patty",United,4,25+,Gang leader who kidnapped slaves and free blacks to either sell or torture them,1802,1829,
696,"Caputo, Ricardo",United,4,6,Argentine-born man who killed three women in the U.S. and one in Mexico,1971,1977,
697,"Carignan, Harvey",United,3,5+,"Known as ""The Want-Ad Killer""; escaped hanging for a 1949 killing on a technicality",1949,1974,The Want-Ad Killer
698,"Caro, Fernando Eros",United,3,5+,"Kidnapped, raped and shot children and teenagers around Fresno County, California",1979,1980,
699,"Carpenter, David",United,7,10+,"Known as ""The Trailside Killer""; serial rapist known for stalking and murdering women hiking on trails in state parks in California",1979,1981,The Trailside Killer
700,"Carr, Robert Frederick",United,4,4,Pedophile who targeted children in both Florida and Connecticut.,1972,1976,
701,"Carr, Thomas D.",United,1,15,"First legal execution in Belmont County, Ohio",1860s,1869,
702,"Carson, Michael Bear",United,3,12,"Along with his wife, Suzan Carson, dubbed ""The San Francisco Witch Killers""; considered suspects in nearly a dozen other deaths in the U.S. and Europe",1981,1983,The San Francisco Witch Killers
703,"Carson, Suzan",United,3,12,"Along with her husband, Michael Bear Carson, dubbed ""The San Francisco Witch Killers""; considered suspects in nearly a dozen other deaths in the U.S. and Europe",1981,1983,The San Francisco Witch Killers
704,"Castro, Edward",United,3,3,Robbed and murdered gay men across three Florida counties,1986,1987,
705,"Catlin, Steven David",United,3,3,Poisoned his mother and two wives with Paraquat,1976,1984,
706,"Catoe, Jarvis",United,8,11,"Sometimes referred to as the ""D.C. Strangler""; active in Washington D.C.",1935,1941,D.C. Strangler
707,"Chadd, Billy Lee",United,3,4,Raped and murdered two women in California. He also murdered a man in Nevada.,1974,1978,
708,"Chandler, Oba",United,4,4+,"Also known as ""Dave Posner"" and ""Dave Posno""",1989,1990,Dave Posner
709,"Chase, Richard",United,6,6,"Known as ""The Vampire of Sacramento""",1977,1978,The Vampire of Sacramento
710,"Chavez, Juan",United,6,6+,Robbed and killed gay men in three cities in Los Angeles County,1986,1990,
711,"Chavez, Juan Rodriguez",United,12,12,"Known as ""The Thrill Killer""; killed a neighbor during a burglary; paroled and went on a killing spree with a teenage accomplice",1985,1995,The Thrill Killer
712,"Chemirmir, Billy",United,2,22,Smothered elderly women in the Dallas area and stole valuables. Chemirmir was indicted in connection with 22 deaths and has been convicted in two of the cases.,2017,2018,
713,"Cherry, Ervin",United,3,3,Strangled women and discarded their clothing,1993,1994,
714,"Chester, Elroy",United,5,5,"Killed five people, including his brother-in-law",1997,1998,
715,"Childers, James",United,2,5+,"Killed people around Clarksburg, West Virginia in personal disputes, burying most of the bodies on his family's farm",2000s,2009,
716,"Childs, Terry",United,5,12,"Kidnapped, tortured, raped and killed women across Nevada and California",1979,1985,
717,"Christensen, William Dean",United,4,10+,"Known as ""The American Jack the Ripper""; murdered and mutilated people between Canada and the United States",1982,1983,The American Jack the Ripper
718,"Christiansen, Thor Nis",United,4,4,Preyed on college-aged women in California,1976,1979,
719,"Christopher, Joseph",United,12,12+,"Known as ""The Midtown Slasher"" and the "".22-Caliber Killer""; targeted mainly African-American men and boys in New York, shooting some victims and stabbing and dismembering others",1980,1981,The Midtown Slasher
720,"Clark, Doug",United,7,7,"With accomplice Carol M. Bundy, known as ""The Sunset Strip Killers""; preyed on young women in West Hollywood and Los Angeles, California",1980,Unknown,The Sunset Strip Killers
721,"Clark, Hadden",United,2,2+,Cannibal convicted of two murders; confessed to killing 12,1986,1992,
722,"Clark, Roland E.",United,2,9,Michigan doctor who poisoned his assistants,1967,Unknown,
723,"Clark, Vernon Lee",United,4,6+,Sexually assaulted and killed at least four women in Maryland,1980,1989,
724,"Clement, Mary",United,4,4,Luxembourgish immigrant who poisoned her family members with arsenic; released in 1886,1880,1885,
725,"Cline, Alfred Leonard",United,9,11,Murdered his wives with poisoned buttermilk after persuading them to will their possessions to his name,1930,1945,
726,"Code, Nathaniel",United,8,12,"Committed at least eight murders in Shreveport, Louisiana",1984,1987,
727,"Coffman, Cynthia",United,4,4,Kidnapped four women by ATMs before accomplice strangled them,1986,Unknown,
728,"Cole, Carroll",United,16,35,"Strangled fifteen women and one boy in California, Nevada and Texas",1947,1980,
729,"Coleman, Alton",United,8,8,"Multi-state killer who, along with his accomplice, murdered a man and injured another, murdered four women and three young girls, and raped a young girl",1984,Unknown,
730,"Coleman, Phillip",United,3,23,Killed people during robberies in Montana; confessed to more murders across the US and Canada,1943,Unknown,
731,"Collins, Harvey",United,3,3,Marine who stabbed a woman to death in Kentucky; later killed two people in Washington during robberies,1953,1955,
732,"Colvin, Dellmus",United,7,7+,Truck driver who killed prostitutes in New Jersey and Ohio,1987,2005,
733,"Conde, Rory Enrique",United,6,6,"Known as ""The Tamiami Trail Strangler""; Colombian-born man who killed six prostitutes in Florida over a span of five months",1994,1995,The Tamiami Trail Strangler
734,"Cook, Anthony",United,9,9+,Committed crimes with his brother Nathaniel Cook,1973,1981,
735,"Cook, Nathaniel",United,9,9+,Committed crimes with his brother Anthony Cook,1973,1981,
736,"Cooks, Jessie Lee",United,15,73+,"Part of ""The Death Angels"" cult responsible for the Zebra murders",1973,1974,The Death Angels
737,"Cooper, Samuel",United,5,5,Shot and killed men in North Carolina,2006,2007,
738,"Copeland, Faye",United,5,12,"Along with her husband, Ray Copeland, the oldest couple ever sentenced to death in the United States",1986,1989,
739,"Copeland, Ray",United,5,12,"Along with his wife, Faye Copeland, the oldest couple ever sentenced to death in the United States",1986,1989,
740,"Corll, Dean",United,28,28+,"Known as ""The Candy Man"" and ""The Pied Piper"". Crimes referred to as ""The Houston Mass Murders""; raped and murdered boys and young men in Texas with the aid of teenaged accomplices David Owen Brooks and Elmer Wayne Henley",1970,1973,The Candy Man
741,"Corona, Juan",United,25,25+,"Mexican farm contractor who murdered male migrant workers in Sutter County, California and buried their bodies in peach orchards",1971,Unknown,
742,"Corwin, Daniel Lee",United,3,3,Abducted and killed three women around Texas,1987,Unknown,
743,"Costa, Tony",United,4,8,"Preyed on women in and around Truro, Massachusetts",1968,1969,
744,"Cota, Fernando",United,6,6,"Convicted rapist who kidnapped, raped, tortured and killed women near San Jose State University",1984,Unknown,
745,"Cottingham, Richard",United,17,100,"Known as ""The Torso Killer""; raped, strangled and dismembered numerous women across New York and New Jersey",1967,1980,The Torso Killer
746,"Covington, Juan",United,3,3+,Shot people at random in Philadelphia due to paranoid hallucinations,1998,2005,
747,"Cowan, Mary",United,6,6,"Known as ""The Borgia of Maine"". Poisoned two husbands and four children",1884,1894,The Borgia of Maine
748,"Cox, Frederick Pete",United,3,3,"Murdered prostitutes in Orlando, Florida",1997,Unknown,
749,"Cox, Scott William",United,5,20+,"Suspected in various murders across Oregon, Washington and possibly Canada",1980s,1990,
750,"Craine, Louis",United,4,5+,"Responsible for at least two of ""The Southside Slayer"" murders in South Los Angeles",1984,1987,The Southside Slayer
751,"Crawford, Andre",United,11,11,Chicago transient who preyed on prostitutes and the destitute,1993,1999,
752,"Creech, Thomas Eugene",United,5,42,"Transient who killed people in various states, some allegedly as part of a biker gang or for human sacrifices",1974,1981,
753,"Crump, Thomas Wayne",United,4,7,Murdered three people during a five month crime spree in 1980 and a cab driver in 1982; confessed to murders dating back to 1956,1980,1982,
754,"Cullen, Charles",United,10,40+,Nurse in New Jersey and Pennsylvania who murdered patients,1988,2003,
755,"Cunanan, Andrew",United,5,5,Italian fashion designer Gianni Versace was among his victims,1997,Unknown,
756,"Cunningham, Mark William",United,3,3,Shot and killed three men in Southern California for no apparent reason,1983,Unknown,
757,"Curry, James Richard",United,4,5,"One victim was Mary Silvani, whose identity was not discovered for 37 years",1982,1983,
758,"Cutlip, Jeffrey Paul",United,3,4,Murdered two women and a teenage girl in Oregon,1975,1993,
759,"Dahmer, Jeffrey",United,17,17,Milwaukee cannibal who retained various body parts of his victims,1978,1991,
760,"Daniels, James Edward",United,4,4,Killed acquaintances in minor disputes,1963,1984,
761,"Danielson, Robert Wayne",United,7,7,Murdered people at campsites across three states,1970,1982,
762,"Danks, Joseph Martin",United,7,7,Murdered his cellmate while serving a life sentence for murdering six homeless men during a stabbing spree,1986,1990,
763,"Davis, Bruce Alan",United,3,33,"Murdered two men during robberies, and later a prison guard; confessed to numerous sexually-motivated murders of men across the country",1971,1982,
764,"Davis, Charles William",United,3,3+,"Ambulance dispatcher who abducted, raped and killed women in Baltimore",1975,1977,
765,"Davis, Frank",United,3,3,Raped and murdered three teenage boys in Indiana,1971,1983,
766,"Davis, Girvies",United,4,9+,"Accomplice of Richard Holman; killed robbery witnesses, saying it was ""easier"" than wearing a mask",1978,1979,easier
767,"Davis, William George",United,4,7,Nurse who killed patients at the hospital where he worked,2017,2018,
768,"DeAngelo, Joseph James",United,13,13+,"Known as ""The Golden State Killer"", ""The Visalia Ransacker"", ""The East Area Rapist"", and ""The Original Night Stalker""; murdered three people in Sacramento and 10 people in Southern California from 1975 through 1986; also linked to more than 50 rapes in the Sacramento area from 1976 to 1979",1979,1986,The Golden State Killer
769,"DeJesus, Carmello",United,3,4,Itinerant gambler who killed female acquaintances during arguments,1971,1973,
770,"Dennis, Jerome",United,5,5,"Responsible for killing five women in Newark and East Orange, New Jersey while on parole",1991,1992,
771,"Devonshire, William",United,3,3,"Murdered a neighbor in Delaware; paroled, then murdered two homeless women along the Tamiami Trail in Florida",2003,2022,
772,"Dewantoro, Harnoko",United,3,3,"Indonesian national who killed two business associates and his brother in Los Angeles, stashing their bodies in storage facilities",1991,1992,
773,"Dieteman, Samuel",United,8,8,Accomplice Dale Hausner Committed suicide in prison,2005,2006,
774,"Dillon, Thomas",United,5,5+,Shot men at random in southeastern Ohio,1989,1992,
775,"Dodd, Westley Allan",United,3,3,"Convicted sex offender who sexually assaulted and murdered three young boys in Vancouver, Washington in 1989",1989,Unknown,
776,"Dominique, Ronald",United,23,23+,Raped and murdered male victims in Louisiana,1997,2006,
