Name,Born,Died,Cause of death,Nicknames,Motive,Conviction,Criminal Penalty,Criminal Status,Victims,Span of Crimes,Country,State(s),Date Apprehended
David Maust,"(1954-04-05)April 5, 1954Connellsville, Pennsylvania, U.S.","January 20, 2006(2006-01-20) (aged 51)Crown Point, Indiana, U.S.",Unknown,Crazy Dave,Unknown,MilitaryInvoluntary manslaughterLarcenyIllinoisMurderIndianaMurder (3 counts),Unknown,Unknown,5,"1974 – September 10, 2003","Germany, United States","Hesse, Texas, Illinois, Indiana","December 10, 2003"
William Patrick Fyfe,"William Patrick Fyfe (1955-02-27) February 27, 1955 (age 69)Toronto, Ontario, Canada",Unknown,Unknown,"""The Killer Handyman""",Unknown,Murder,Unknown,Unknown,5–9+,17 October 1979 – 15 December 1999,Canada,Quebec,22 December 1999
Willem van Eijk,Willem van Eijk13 August 1941Korteraar (Nieuwkoop),"19 June 2019(2019-06-19) (aged 77)Vught, Netherlands",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5–8,1971–2001,Kingdom of the Netherlands,Unknown,12 November 2001
Danny Rolling,"Danny Harold Rolling(1954-05-26)May 26, 1954Shreveport, Louisiana, U.S.","October 25, 2006(2006-10-25) (aged 52)Florida State Prison, U.S.",Unknown,The Gainesville RipperMichael Kennedy Jr.,Unknown,First degree murder (5 counts),Unknown,Unknown,8,1989–1990,United States,Louisiana and Florida,"September 7, 1990"
Allan Joseph Legere,"Allan Joseph Legere (1948-02-13) February 13, 1948 (age 76)Chatham, New Brunswick, Canada",Unknown,Unknown,The Monster of the Miramichi,Unknown,"Murder, Arson, Rapist",Unknown,Unknown,5,"June 21, 1986 – November 24, 1989",Canada,Unknown,"November 24, 1989"
Joseph E. Duncan III,"Joseph Edward Duncan III(1963-02-25)February 25, 1963Fort Bragg, North Carolina, U.S.","March 28, 2021(2021-03-28) (aged 58)USP Terre Haute, Terre Haute, Indiana, U.S.",Unknown,JetJazzi Jet,Unknown,FederalKidnapping a child resulting in death (18 U.S.C. § 1201)Kidnapping a child (18 U.S.C. § 1201)Aggravated sexual abuse (18 U.S.C. § 2241) (2 counts)Sexual exploitation of a child resulting in death (18 U.S.C. § 2251)Being a felon in possession of a firearm (18 U.S.C. § 922)Possession of a stolen firearm (18 U.S.C. § 922)Using a firearm during a crime of violence resulting in death (18 U.S.C. § 924)Transportation of a stolen vehicle (18 U.S.C. § 2312)Possession of an unregistered firearm (26 U.S.C. § 5861)IdahoFirst degree murder (3 counts)First degree kidnapping (3 counts)CaliforniaFirst degree murder with special circumstancesKidnapping,Unknown,Unknown,5–8 killed3–16 raped1–7 molested1 attempted molestation1–3 stalked,"1978 – July 2, 2005 (confirmed)",United States,"Idaho, California (convicted)Washington (confessed)","July 2, 2005; 19 years ago (2005-07-02)"
Vincent Johnson,"(1969-01-06) January 6, 1969 (age 55)Brooklyn, New York, U.S.",Unknown,Unknown,"""The Brooklyn Strangler""""The Williamsburg Strangler""",Unknown,Murder,Unknown,Unknown,5–6,"August 26, 1999 – June 7, 2000",United States,New York,"August 5, 2000"
Vinko Pintarić,"(1941-04-03)3 April 1941Zrinski Topolovac, Banovina of Croatia, Kingdom of Yugoslavia","25 May 1991(1991-05-25) (aged 50)Veliko Trgovišće, SR Croatia, SFR Yugoslavia",Unknown,Unknown,Unknown,MurderAttempted murderBurglary,Unknown,Unknown,5,1973–1990,Yugoslavia,SR Croatia,May 1973 (escaped September 1973)January 1974 (escaped February 1982)April 1983 (escaped September 1989)
Edward Edwards,"June 14, 1933Akron, Ohio, U.S.","April 7, 2011(2011-04-07) (aged 77)Columbus, Ohio, U.S.",Unknown,Wayne[1],Unknown,First Degree Intentional Homicide (2 counts) Aggravated Murder (3 counts,Unknown,Unknown,"5 confirmed, 9–15+ suspected",1977–1996,United States,"Ohio, Wisconsin",2009
Thomas Dillon,"(1950-07-09)July 9, 1950Canton, Ohio, U.S.","October 21, 2011(2011-10-21) (aged 61)Columbus, Ohio, U.S.",Unknown,Ohio Outdoorsman Killer,Unknown,Unknown,Unknown,Unknown,5 known,"April 1, 1989 – April 5, 1992",U.S.,Ohio,"November 27, 1992"
Marc Dutroux,"Marc Paul Alain Dutroux (1956-11-06) 6 November 1956 (age 68)Ixelles, Brussels, Belgium",Unknown,Unknown,Unknown,Unknown,Child pornographyChild sexual abuseKidnappingMurderTheft,Unknown,Unknown,"4+ murders, 11+ rapes",Unknown,Belgium,Unknown,13 August 1996
William Dathan Holbert,"William Dathan Holbert (1979-09-12) September 12, 1979 (age 45)[5]Saluda, North Carolina, U.S.",Unknown,Unknown,William Adolfo Cortez[4],Unknown,Murder,Unknown,Unknown,"5, all in Panama:[1][2]Michael Francis Salem, alias Mike Brown, an American former drug trafficker who was trying to sell his homeSmith's wife[ambiguous]the Smiths' son[ambiguous]Cheryl Lynn Hughes, a St. Louis native and small hotel ownerBo Icelar, a former gallery owner from Santa Fe, New Mexico",Unknown,Panama,Unknown,"July 26, 2010[3]"
Jerome Dennis,"(1966-12-14) December 14, 1966 (age 57)Newark, New Jersey, U.S.",Unknown,Unknown,Unknown,Unknown,Murder (5 counts)Aggravated sexual assault (2 counts)False imprisonment (2 counts)Aggravated assault (1 count)Armed robbery (1 count)Parole violation (1 count),Unknown,Unknown,5,1991–1992,United States,New Jersey,"April 13, 1992"
Belize Ripper,Unknown,Unknown,Unknown,"""Jack the Butcher""",Unknown,Unknown,Unknown,Unknown,5,1998–2000,Belize,Belize District,Never apprehended
Elroy Chester,"(1969-06-14)June 14, 1969Jefferson County, Texas, U.S.","June 12, 2013(2013-06-12) (aged 43)Huntsville Unit, Huntsville, Texas, U.S.",Unknown,Unknown,Unknown,Capital murder,Unknown,Unknown,5,1997–1998,United States,Texas,Unknown
Elisabeth Wiese,"(1853-07-01)1 July 1853Bilshausen, Lower Saxony, German Confederation","2 February 1905(1905-02-02) (aged 51)Hamburg, German Empire",Unknown,"""The angel-maker of St. Pauli""",Unknown,Murder (5 counts)Fraud,Unknown,Unknown,5,1902–1903,Germany,Unknown,1903
San Mateo slasher,Unknown,Unknown,Unknown,The San Mateo Slasher,Unknown,Unknown,Unknown,Unknown,5+,January – March 1976,United States,California,"January 22, 2015"
Honolulu Strangler,Unknown,Unknown,Unknown,"""The Honolulu Rapist""",Unknown,Unknown,Unknown,Unknown,5,May 1985 – April 1986,United States,Hawaii,N/A
Anthony Kirkland,"(1968-09-13) September 13, 1968 (age 56)United States",Unknown,Unknown,Unknown,Unknown,Aggravated murder (2 counts)Murder (2 counts)Voluntary manslaughterAttempted rape (2 counts)Aggravated robbery (2 counts)Abuse of a corpse (4 counts),Unknown,Unknown,5,1987–2009,United States,Ohio,"March 8, 2009 (for the final time)"
William MacDonald,"Allen Ginsberg17 June 1924Liverpool, England, UK","12 May 2015(2015-05-12) (aged 90)Prince of Wales Hospital, Randwick, New South Wales, Australia",Unknown,"""The (Sydney) Mutilator""Alan Edward BrennanDavid Alan (assumed names)",Unknown,Unknown,Unknown,Unknown,5,1961–1962,Australia,Queensland; New South Wales,May 1963
Harry Powers,"Harm (Herman) Drenth(1892-11-17)November 17, 1892Beerta, Groningen, Netherlands","March 18, 1932(1932-03-18) (aged 39)West Virginia State Penitentiary, Moundsville, West Virginia, U.S.",Unknown,John SchroederJoseph GildowCornelius Orvin Pierson A.R. Weaver,Unknown,First degree murder,Unknown,Unknown,5+2 not proven,June – July 1931 (known),United States,"West Virginia, possibly others",Unknown
Anna Marie Hahn,"Anna Marie FilserJuly 7, 1906Bavaria, German Empire","December 7, 1938 (aged 32)Ohio State Penitentiary, Columbus, Ohio, United States",Unknown,"Marie Felser, Marie Fisher, Arsenic Anna, The Blonde Borgia, Angel of Mercy",Unknown,First degree murder,Unknown,Unknown,5,"May 6, 1933 – August 1, 1937",United States,"Ohio, Colorado",1937
Robert Nixon,"Robert Nixon(1919-07-19)July 19, 1919[1]Tallulah, Louisiana, U.S.","June 16, 1939(1939-06-16) (aged 19)Cook County Jail, Chicago, Illinois, U.S.",Unknown,The Brick Moron,Unknown,Murder,Unknown,Unknown,3–5,1937–1938,United States,"California, Illinois","May 28, 1938"
Waneta Hoyt,"Waneta Ethel Nixon(1946-05-13)May 13, 1946Richford, New York, U.S.","August 13, 1998(1998-08-13) (aged 52)Bedford, New York, U.S.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5,1965–1971,United States,New York,1994; 30 years ago (1994)
Janie Lou Gibbs,"Janie Lou HickoxDecember 25, 1932Cordele, Georgia, U.S.","February 7, 2010 (aged 77)Douglasville, Georgia, U.S.",Unknown,Unknown,Life insurance money,Murder (5 counts),Unknown,Unknown,5,1966–1967,United States,Georgia,1967; 57 years ago (1967)
South Dade Killer,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,12–35+,1975 – 1976 (Confirmed),United States,"Florida, possibly others",Never apprehended
Gerald Parker,1955 (age 68–69),Unknown,Unknown,The Bedroom BasherThe Bludgeon Killer,Unknown,MurderRape,Unknown,Unknown,6,December 1978 – October 1979,United States,California,January 1996
Phillip Carl Jablonski,"(1946-01-03)January 3, 1946Joshua Tree, California, U.S.","December 27, 2019(2019-12-27) (aged 73)San Quentin State Prison, San Quentin, California, U.S.",Unknown,Unknown,Unknown,First degree murder with special circumstances,Unknown,Unknown,5,1978–1991,United States,"California, Utah","April 28, 1991"
Arthur Gary Bishop,"Arthur Gary Bishop(1952-09-29)September 29, 1952Hinckley, Utah, U.S.","June 10, 1988(1988-06-10) (aged 35)Utah State Prison, Draper, Utah, U.S.",Unknown,"Lynn Jones,Roger W. Downs",Unknown,First degree murder (5 counts)Aggravated kidnapping (5 counts)Sexual abuse of a minorEmbezzlement,Unknown,Unknown,5,"October 14, 1979 – July 14, 1983",United States,Utah,"July 24, 1983"
Faryion Wardrip,"Faryion Edward Wardrip (1959-03-06) March 6, 1959 (age 65)[1]Salem, Indiana, U.S.",Unknown,Unknown,Unknown,Unknown,"Capital murder (3 counts)
Second-degree murder (2 counts)[1]",Unknown,Unknown,5,1984–1986,United States,Texas,"May 6, 1986 (murder of T. Kimbrew)[2]
Feb. 14, 1999 (murders of T. Simms, T. Gibbs, E. Blau and D. Taylor)"
Timothy Wilson Spencer,"(1962-03-17)March 17, 1962Green Valley, Virginia, U.S.","April 27, 1994(1994-04-27) (aged 32)Greensville Correctional Center, Jarratt, Virginia, U.S.",Unknown,The Southside StranglerThe Southside SlayerThe Southside RapistThe Masked Rapist,Unknown,Capital murder (3 counts)RapeBurglaryRobbery,Unknown,Unknown,5,1984–1988,United States,Virginia,"January 20, 1988"
Robert Shulman,"Robert Yale Shulman(1954-03-28)March 28, 1954New York, U.S.","April 13, 2006(2006-04-13) (aged 52)Albany Medical Center, Albany, New York, U.S.",Unknown,Unknown,Unknown,First degree murderSecond degree murder (4 counts),Unknown,Unknown,5+,1991–1995,United States,New York,"April 6, 1996"
Elias Abuelazam,"Elias Abuelazam (1976-08-29) August 29, 1976 (age 48)Ramla, Israel",Unknown,Unknown,Elias Abullazam,Unknown,First degree murder,Unknown,Unknown,"1 (convicted)  Suspected in 17 further attacks, resulting in another 4 deaths.",March 2009 – August 2010,U.S.,"Michigan, Ohio, and Virginia","August 11, 2010"
Joachim Knychała,"(1952-09-08)8 September 1952Bytom, Polish People's Republic","28 October 1985(1985-10-28) (aged 33)Montelupich Prison, Kraków, Polish People's Republic",Unknown,Unknown,Unknown,Murder (5 counts),Unknown,Unknown,5,Unknown,Poland,Unknown,May 1982
Archibald Hall,"Archibald Thomson Hall17 June 1924Glasgow, Scotland","16 September 2002(2002-09-16) (aged 78)HMP Kingston, Portsmouth, England",Unknown,Roy FontaineKiller ButlerMonster Butler,Unknown,Murder,Unknown,Unknown,5,1977–1978,Unknown,Unknown,16 January 1978
Colin Ireland,"(1954-03-16)16 March 1954Dartford, Kent, England","21 February 2012(2012-02-21) (aged 57)HM Prison Wakefield, West Yorkshire, England",Unknown,Gay Slayer,Unknown,Murder (5 counts),Unknown,Unknown,5,8 March – 12 June 1993,United Kingdom,Unknown,21 July 1993
Claude Lastennet,"(1971-01-19)January 19, 1971Brest, Finistère Department, France","December 19, 2023(2023-12-19) (aged 52)Poitiers-Vivonne Penitentiary Center, Vivonne, Vienne Department, France",Unknown,Unknown,Unknown,Murder x5,Unknown,Unknown,5,1993–1994,France,"Val-de-Marne, Hauts-de-Seine","January 12, 1994"
Metod Trobec,"(1948-06-06)June 6, 1948Planina nad Horjulom, Socialist Slovenia, Yugoslavia","May 30, 2006(2006-05-30) (aged 57)Dob pri Mirni Correctional Facility [sl], Slovenska Vas, Southeast Slovenia, Slovenia",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5–6,1967–1979,Slovenia,Central Slovenia,For the final time in July 1979
Romulus Vereş,"Romulus Vereș23 January 1929Cluj, Romania","13 December 1993(1993-12-13) (aged 64)Ștei, Romania",Unknown,The Man with the Hammer,Unknown,Murder,Unknown,Unknown,5,11 September 1972 – 14 February 1974,Romania,Unknown,14 February 1974
Akira Nishiguchi,"Akira NishiguchiDecember 14, 1925Osaka, Osaka Prefecture, Japan","December 11, 1970(1970-12-11) (aged 44)Fukuoka Detention House, Sawara-ku, Fukuoka Prefecture, Japan",Unknown,Unknown,Unknown,Murder (5 counts),Unknown,Unknown,5,"October 18, 1963 – December 29, 1963",Japan,"Fukuoka, Shizuoka, Tokyo","January 3, 1964"
Boris Gusakov,"Boris Vasilyevich Gusakov(1938-01-01)1 January 1938Balashikha, Moscow Oblast, RSFSR","27 December 1970(1970-12-27) (aged 32)Veliky Novgorod, Novgorod Oblast, RSFSR",Unknown,"""The Student Hunter""",Unknown,Sexual assaultMurder,Unknown,Unknown,6,1964–1968,Soviet Union,Moscow,16 May 1968
Anatoly Biryukov,"Anatoly Nikolaevich Biryukov(1939-02-18)18 February 1939Lopasnya, Moscow Oblast, RSFSR (present-day Chekhov, Moscow Oblast, Russia)","24 February 1979(1979-02-24) (aged 40)Moscow, RSFSR",Unknown,"""The Baby Hunter""",Unknown,Murder with aggravating circumstances,Unknown,Unknown,5,16 September – 19 October 1977,Soviet Union,Moscow,24 October 1977
Süleyman Aktaş,"Çambaşı, Bozkurt, Denizli, Turkey",Unknown,Unknown,The Nailing Killer,Unknown,Unknown,Unknown,Unknown,5,Unknown,Unknown,Unknown,Unknown
B1 Butcher,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5,2005–2007,Unknown,Namibia,Unknown
Alexander Spesivtsev,"Alexander Nikolayevich Spesivtsev (1970-03-01) 1 March 1970 (age 54)Kemerovo Oblast, RSFSR, Soviet Union",Unknown,Unknown,"""Novokuznetsk Monster"", ""Siberian Ripper""",Unknown,Unknown,Unknown,Unknown,"Convicted for 4 murders, 80+ suspected",1991–1996,Russia,Unknown,October 1996
Charlie Brandt,"Carl Eric BrandtFebruary 23, 1957Fort Wayne, Indiana, U.S.","(2004-09-13)September 13, 2004 (aged 47) Maitland, Florida, U.S.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4–7+,"January 3, 1971 – September 13, 2004",United States,"Indiana, Florida",Unknown
Scott Lee Kimball,"(1966-09-21) September 21, 1966 (age 58)Boulder, Colorado, U.S.",Unknown,Unknown,Joe SnitchHannibal,Unknown,Second degree murder (4 counts)FraudForgeryFraudFelon in possession of a firearmAttempted escape,Unknown,Unknown,4+,2003–2004,United States,Colorado and Utah,"March 14, 2006"
Robert Black,"(1947-04-21)21 April 1947Grangemouth, Stirlingshire, Scotland","12 January 2016(2016-01-12) (aged 68)HMP Maghaberry, Northern Ireland",Unknown,Unknown,Unknown,MurderKidnapPreventing the lawful burial of a bodySexual assaultAttempted kidnap,Unknown,Unknown,4+,12 August 1981 – 14 July 1990,United Kingdom,Unknown,14 July 1990
Max Gufler,(1918-05-01)1 May 1918,1966,Unknown,Unknown,Unknown,Murder,Unknown,Unknown,4–18,1946–1958,Austria,Unknown,1 November 1958
Ernesto Picchioni,"1900Ascrea, Italy","9 September 1967(1967-09-09) (aged 66–67)Porto Azzurro, Italy",Unknown,"""The Monster of Nerola""",Unknown,Murder,Unknown,Unknown,4–16,19??–1949,Italy,Unknown,12 March 1949
Baekuni,1961 (age 62–63)Indonesia,Unknown,Unknown,Babe,Unknown,"Murder, rape, dismemberment",Unknown,Unknown,14,1993–2010,Indonesia,Unknown,"January 9, 2010"
Igor Chernat,"c. 1966Odessa, UkSSR","21 October 1987(1987-10-21) (aged 20–21)Leningrad, RSFSR",Unknown,"""The Evil Spirit of Kaukjarvi""""The Kamensky Maniac""",Unknown,Murder,Unknown,Unknown,4–13,1985–1986,Soviet Union,Leningrad,September 1986
Ricky Lee Green,"(1960-12-27)December 27, 1960Fort Worth, Texas, U.S.","October 8, 1997(1997-10-08) (aged 36)Huntsville Unit, Huntsville, Texas, U.S.",Unknown,Unknown,Unknown,Capital murder,Unknown,Unknown,4–12,1985–1986,United States,Texas,"April 27, 1989"
Robert Hicks Murray,"Possibly Kingston Hill, London, England","19 August 1912Eastbourne, East Sussex, England",Unknown,Robert Charles MackieCharles Richard MackieCharles Sterling,Unknown,Unknown,Unknown,Unknown,4–11+,Unknown,England,"East Sussex, possibly elsewhere",Died before arrest
William Dean Christensen,"(1945-09-24)September 24, 1945Bethesda, Maryland, U.S.","October 31, 1990(1990-10-31) (aged 45)Huntingdon, Pennsylvania, U.S.",Unknown,"""The American Jack the Ripper""Richard OwenJohn SchraderJeffrey Shrader",Unknown,First degree murder,Unknown,Unknown,4–24+,1982–1983,United States and Canada (others suspected),Montreal and Pennsylvania (others suspected),"December 4, 1983"
John Cooper,"John William Cooper (1944-09-03) 3 September 1944 (age 80)[3]Milford Haven, Pembrokeshire, Wales",Unknown,Unknown,The Bullseye Killer[1][2],Unknown,"4 murders, 1 rape, 1 sexual assault, 30 burglaries, and 1 attempted robbery",Unknown,Unknown,"4–9 murder victims, others raped or burgled",1985–1998,Wales,Pembrokeshire,2009
Cary Stayner,"Cary Anthony Stayner (1961-08-13) August 13, 1961 (age 63)Merced, California, U.S.",Unknown,Unknown,The Yosemite Park KillerThe Yosemite Killer,Unknown,FederalFirst degree murder (18 U.S.C. § 1111)Kidnapping resulting in death (18 U.S.C. § 1201)Attempted aggravated sexual abuse resulting in death (18 U.S.C. § 2241)CaliforniaFirst degree murder with special circumstances (3 counts)Kidnapping,Unknown,Unknown,4+,"February 15 – July 21, 1999 (confirmed)",United States,California,"July 24, 1999"
Tony Costa,"Antone Charles Costa(1944-08-02)August 2, 1944Cambridge, Massachusetts","May 12, 1974(1974-05-12) (aged 29)Walpole, Massachusetts",Unknown,Unknown,Unknown,Murder (x2),Unknown,Unknown,"2 convicted, 4 confirmed",1968–1969,United States,Massachusetts,1969
Carlton Gary,"Carlton Michael Gary(1950-09-24)September 24, 1950Columbus, Georgia, U.S.","March 15, 2018(2018-03-15) (aged 67)Jackson, Georgia, U.S.",Unknown,Carl MichaelsMichael DavidThe Stocking Strangler,Unknown,"Armed robbery (February 22 & March 29, 1979)Escape (August 10, 1979)Sexual assault, murder & property damage (August 26, 1986)",Unknown,Unknown,4–8+,"July 1970 – April 19, 1978",United States,"New York, Georgia","December 1978May 3, 1984"
Oakland County Child Killer,Unknown,Unknown,Unknown,The Babysitter KillerThe BabysitterThe Snow Murderer,Unknown,Unknown,Unknown,Unknown,4+,"February 15, 1976 – March 16, 1977",United States,Michigan,Unknown
Robert Rozier,"Robert Earnest Rozier Jr. (1955-07-28) July 28, 1955 (age 69)Anchorage,Territory of Alaska, U.S.",Unknown,Unknown,Bob RozierNeariah IsraelRobert Rameses,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Leonard Fraser,"Leonard John Fraser(1951-06-27)27 June 1951Ingham, Queensland, Australia","1 January 2007(2007-01-01) (aged 55)Princess Alexandra Hospital in Woolloongabba, Queensland, Australia",Unknown,The Rockhampton Rapist,Unknown,Unknown,Unknown,Unknown,4–7+,28 December 1998 – 22 April 1999,Australia,Queensland,1999
Christopher Peterson,"Christopher Dwayne Peterson (1969-01-20) 20 January 1969 (age 55)Gary, Indiana, U.S.",Unknown,Unknown,The Shotgun Killer,Unknown,Murder (4 counts)Attempted murderArmed robbery,Unknown,Unknown,4–7,"October 30 – December 18, 1990",United States,Indiana,Unknown
Ricardo Caputo,"1949 (1949)Mendoza, Mendoza Province, Argentina","October 1, 1997 (aged 48)Attica State Prison, Attica, New York, U.S.",Unknown,"""The Lady Killer""",Unknown,Unknown,Unknown,Unknown,4–6,1971–1977,"United States, Mexico","New York, California, State of Mexico","March 1, 1994"
Anthony Allen Shore,"(1962-06-25)June 25, 1962Rapid City, South Dakota, U.S.","January 18, 2018(2018-01-18) (aged 55)Huntsville Unit, Huntsville, Texas, U.S.",Unknown,The Tourniquet KillerThe Strangler,Unknown,Child molestationDrug possessionKidnappingCapital murderSexual assault,Unknown,Unknown,4+,"September 26, 1986 – July 6, 1995",United States,Texas,"October 24, 2003"
Daytona Beach killer,"Robert Tyrone Hayes (1982-03-12) March 12, 1982 (age 42)West Palm Beach, Florida, U.S.",Unknown,Unknown,The Daytona Beach Killer,Unknown,Unknown,Unknown,Unknown,3 confirmed; 4–7+ suspected,December 2005 – February 2006 (possibly until March 2016),United States,Florida,"September 15, 2019"
Jozef Slovák,"Jozef Slovák (1951-04-07) April 7, 1951 (age 73)Plavecký Štvrtok, Slovakia",Unknown,Unknown,The Genius murdererThe Bratislava strangler,Unknown,Murder (specifically mass murder),Unknown,Unknown,5,"August 22, 1978 – July 16, 1991","Slovakia, Czech Republic",Unknown,1991; 33 years ago (1991)
Monster of Udine,unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4–16,Unknown,Italy,Province of Udine,Unknown
John Martin Crawford,"John Martin Crawford(1962-03-29)March 29, 1962Steinbach, Manitoba, Canada","December 16, 2020(2020-12-16) (aged 58)Regional Psychiatric Centre, Saskatoon, Saskatchewan, Canada",Unknown,The Lady Killer,Unknown,First degree murderSecond degree murder (2 counts)Manslaughter,Unknown,Unknown,4+,1981–1992,Canada,Unknown,1993
Oba Chandler,"(1946-10-11)October 11, 1946Cincinnati, Ohio, U.S.","November 15, 2011(2011-11-15) (aged 65)Florida State Prison, Raiford, Florida, U.S.",Unknown,"Dave Posner
Dave Posno",Unknown,First degree murder (3 counts)Armed robbery (2 counts)Being a felon in possession of a firearm,Unknown,Unknown,"4
Ivelisse Berrios–Beguerisse
Joan ""Jo"" Rogers
Michelle Rogers
Christe Rogers",Unknown,United States,Florida,"September 24, 1992"
Dallen Bounds,"Dallen Forrest Bounds(1971-08-09)August 9, 1971Ashland, Oregon, U.S.","December 23, 1999(1999-12-23) (aged 28)Easley, South Carolina, U.S.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4 (confirmed),"June 26 – December 23, 1999",United States,"South Carolina, possibly Washington",Unknown
Wayne Adam Ford,"(1961-12-03) December 3, 1961 (age 62)Petaluma, California, U.S.",Unknown,Unknown,Unknown,Unknown,First degree murder with special circumstances (4 counts),Unknown,Unknown,4+,"October, 1997 – November 3, 1998",United States,California,"November 3, 1998"
Heinrich Pommerenke,"Heinrich Max Pommerenke6 July 1937Bentwisch, Nazi Germany","27 December 2008 (aged 71)Hohenasperg, Asperg, Germany",Unknown,The Beast of the Black Forest (Ungeheuer vom Schwarzwald),Unknown,Murder (4 counts)Attempted murderRape,Unknown,Unknown,4+,26 February – 9 June 1959,West Germany,Baden-Württemberg,19 June 1959
Jerry Brudos,"Jerome Henry Brudos(1939-01-31)January 31, 1939Webster, South Dakota, U.S.","March 28, 2006(2006-03-28) (aged 67)Salem, Oregon, U.S.",Unknown,The Lust KillerThe Shoe Fetish Slayer,LustDominationPossession,Life imprisonment (×3)[1],Unknown,Unknown,4,"January 26, 1968 – April 23, 1969",United States,Oregon[2],"May 29, 1969[3]"
Robert Maudsley,"Robert John Maudsley (1953-06-26) 26 June 1953 (age 71)Speke, Liverpool, England",Unknown,Unknown,Hannibal the CannibalThe Brain Eater,Unknown,"3 counts of murder, 1 count of manslaughter",Unknown,Unknown,4,1974–1978,England,Unknown,Unknown
Aalt Mondria,"Adrie Mondria9 May 1956Kampen, Overijssel, Netherlands","Summer 2011 (aged 55)Balkbrug, Netherlands",Unknown,Aalt,Unknown,Murder,Unknown,Unknown,4,1978–1997,Netherlands,Overijssel,7 March 1997
Tsutomu Miyazaki,"August 21, 1962Itsukaichi, Tokyo, Japan","June 17, 2008(2008-06-17) (aged 45)Tokyo Detention House, Tokyo, Japan",Unknown,"The Otaku Murderer, The Rat Man",Unknown,Aggravated murder (4 counts),Unknown,Unknown,4,1988–1989,Japan,Unknown,"July 23, 1989"
Cody Legebokoff,"Cody Alan Legebokoff (1990-01-21) 21 January 1990 (age 34)Fort St. James, British Columbia, Canada",Unknown,Unknown,"Highway of Tears Killer, Country Boy",Unknown,Murder,Unknown,Unknown,4,2009–2010,Canada,Unknown,"November 27, 2010"
Stephen Port,"(1975-02-22) 22 February 1975 (age 49)Southend-on-Sea, Essex, England",Unknown,Unknown,The Grindr Killer[1],Unknown,Unknown,Unknown,Unknown,4 (murder)  11+ (rape),2014–2015,United Kingdom,Unknown,2015
Howell Donaldson III,"(1993-01-26) January 26, 1993 (age 31)[2]",Unknown,Unknown,"Howell Emanuel ""Trai"" Donaldson IIISeminole Heights serial killer",Unknown,First-degree murder (4 counts),Unknown,Unknown,4,"October 9 – November 14, 2017",United States,Florida,"November 28, 2017"
Arnold Sodeman,"(1899-12-12)12 December 1899Hawthorn, Victoria, Australia","1 June 1936(1936-06-01) (aged 36)HM Prison Pentridge, Coburg, Victoria, Australia",Unknown,The School-Girl Strangler,Unknown,Murder,Unknown,Unknown,4,1930–1935,Australia,Victoria,Unknown
Craig Price,"Craig Chandler Price (1973-10-11) October 11, 1973 (age 51)Warwick, Rhode Island, U.S.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4,"July 27, 1987 – September 1, 1989",United States,Rhode Island,"September 5, 1989"
Fritz Honka,"Friedrich Paul Honka(1935-07-31)31 July 1935Leipzig, Germany","19 October 1998(1998-10-19) (aged 63)Langenhorn, Hamburg, Germany",Unknown,Unknown,Unknown,Murder,Unknown,Unknown,4,1970–1975,West Germany,Unknown,"July 15, 1975"
Cayetano Santos Godino,"Cayetano Santos Godino(1896-10-31)October 31, 1896Buenos Aires, Argentina","November 15, 1944(1944-11-15) (aged 48)Ushuaia, Argentina",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"4 murdered, 2 assaulted, 7 attempted murder","March 29, 1906 – December 3, 1912",Argentina,Unknown,"December 4, 1912"
Eastbound Strangler,Unknown,Unknown,Unknown,Atlantic City Serial Killer,Unknown,Unknown,Unknown,Unknown,4,October – November 2006,United States,New Jersey,N/A
Caroline Grills,"Caroline Michelsonc. 1888[1]Balmain, New South Wales, Australia[1]","6 October 1960 (aged 71–72)Randwick, New South Wales, Australia[1]",Unknown,"Aunty Carrie, ""Aunt Thally"" whilst imprisoned",Unknown,Murder,Unknown,Unknown,4 (plus 3 attempted murders),1947–1953,Australia,New South Wales[1][2],April 1953 (1953-04)
Gordon Cummins,"(1914-02-18)18 February 1914New Earswick, North Riding of Yorkshire, England","25 June 1942(1942-06-25) (aged 28)HMP Wandsworth, London, England",Unknown,The Blackout KillerThe Blackout RipperThe Wartime Ripper,Sexual sadismRobbery,Murder (27 April 1942),Unknown,Unknown,4–6,13 October 1941 or 9 February 1942 – 14 February 1942,Unknown,Unknown,16 February 1942
